VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,1/1/2019 0:46,1/1/2019 0:53,1,1.5,1,N,151,239,1,7,0.5,0.5,1.65,0,0.3,9.95,
1,1/1/2019 0:59,1/1/2019 1:18,1,2.6,1,N,239,246,1,14,0.5,0.5,1,0,0.3,16.3,
2,12/21/2018 13:48,12/21/2018 13:52,3,0,1,N,236,236,1,4.5,0.5,0.5,0,0,0.3,5.8,
2,11/28/2018 15:52,11/28/2018 15:55,5,0,1,N,193,193,2,3.5,0.5,0.5,0,0,0.3,7.55,
2,11/28/2018 15:56,11/28/2018 15:58,5,0,2,N,193,193,2,52,0,0.5,0,0,0.3,55.55,
2,11/28/2018 16:25,11/28/2018 16:28,5,0,1,N,193,193,2,3.5,0.5,0.5,0,5.76,0.3,13.31,
2,11/28/2018 16:29,11/28/2018 16:33,5,0,2,N,193,193,2,52,0,0.5,0,0,0.3,55.55,
1,1/1/2019 0:21,1/1/2019 0:28,1,1.3,1,N,163,229,1,6.5,0.5,0.5,1.25,0,0.3,9.05,
1,1/1/2019 0:32,1/1/2019 0:45,1,3.7,1,N,229,7,1,13.5,0.5,0.5,3.7,0,0.3,18.5,
1,1/1/2019 0:57,1/1/2019 1:09,2,2.1,1,N,141,234,1,10,0.5,0.5,1.7,0,0.3,13,
1,1/1/2019 0:24,1/1/2019 0:47,2,2.8,1,N,246,162,1,15,0.5,0.5,3.25,0,0.3,19.55,
1,1/1/2019 0:21,1/1/2019 0:28,1,0.7,1,N,238,151,1,5.5,0.5,0.5,1.7,0,0.3,8.5,
1,1/1/2019 0:45,1/1/2019 1:31,1,8.7,1,N,163,25,1,34.5,0.5,0.5,7.15,0,0.3,42.95,
1,1/1/2019 0:43,1/1/2019 1:07,1,6.3,1,N,224,25,1,21.5,0.5,0.5,5.7,0,0.3,28.5,
